Kernel,C,Gamma,C1_mean_auc_roc,C2_mean_auc_roc,C3_mean_auc_roc,C4_mean_auc_roc,C5_mean_auc_roc,C6_mean_auc_roc,C7_mean_auc_roc,C8_mean_auc_roc,C9_mean_auc_roc,overall_mean
rbf,500.0,1e-05,0.9963712444610623,0.9985926008551065,0.9996651856323021,0.9972969257826005,0.9989477814238835,0.989867245959886,0.9991551215994023,0.9792778557821158,0.9958847511957284,0.9950065236324542
rbf,1000.0,0.1,0.9891641114596113,0.9977913717963547,0.9986255784334034,0.9991492399767145,0.9471054568825416,0.9958322368047743,0.9975069314069389,0.988588018942283,0.9891726943526666,0.9892150711172543
rbf,1000.0,0.01,0.9982827627312787,0.9990972228009702,0.9985134144654755,0.9995869935981851,0.9907996304937761,0.9987907532344631,0.9996157340084688,0.991490384837569,0.9986168877398868,0.9971993093233414
rbf,1000.0,0.001,0.9991137429317385,0.9991745947819384,0.9998147293644898,0.9982651887483396,0.9997693460141663,0.9971444681346993,0.9974645827456111,0.9879159942453632,0.9970970048388956,0.9973066279783601
rbf,1000.0,0.0001,0.9970912510758321,0.9985441620269155,0.9998412649795165,0.9965053611387436,0.9996915870071813,0.989804066781676,0.9993477170635092,0.9853166876444229,0.9929272996759272,0.9954521552659694
rbf,1000.0,1e-05,0.994861187401759,0.9989614241128173,0.999673561914982,0.9973661803102909,0.9990500309126361,0.9897234709168368,0.9989574603315907,0.9798081644502055,0.9951548349229699,0.9948395905860098
rbf,1500.0,0.1,0.9891641114596113,0.9977913717963547,0.9986195595582108,0.9992298758620487,0.9471054568825416,0.9958322368047743,0.9975069314069389,0.9884073254564338,0.9891726943526666,0.9892032848421756
rbf,1500.0,0.01,0.9982827627312787,0.9990972228009702,0.9985061764805303,0.9995927262283159,0.9907996304937761,0.9987907532344631,0.9996157340084688,0.9918637339584043,0.9986168877398868,0.9972406252973438
rbf,1500.0,0.001,0.9991137429317385,0.9991745947819384,0.9997271535117351,0.9978903084357226,0.9997693460141663,0.997140776735659,0.9973510041927618,0.9871061638722928,0.9970970048388956,0.9971522328127678
rbf,1500.0,0.0001,0.9970912510758321,0.9985174233440629,0.9997410791553788,0.996465197618847,0.9996915870071813,0.9898113527561752,0.9993372575343576,0.9857316224989944,0.9929272996759272,0.995479341185195
rbf,1500.0,1e-05,0.994800199039128,0.9991059702576075,0.999665111108159,0.9974642832409039,0.9990500309126361,0.9898422098449846,0.9988249829968405,0.980331496603051,0.9946101121876934,0.9948549329101115
